J,T,parity,E_r,E_i,N_max,hw,srg,lambda,NNN,3N_induced,theta,Nf,srg_f,Er_hw,Er_lambda,Er_Nmax,Er_Nf,Er_total,Ei_hw,Ei_lambda,Ei_Nmax,Ei_Nf,Ei_total,Er_theta,Ei_theta
0.0,0.0,1.0,-7.88388,-1.44438,20.0,20.0,1.0,2.4,0.0,0.0,0.32,12.0,1.0,0.07,0.6,0.4,0.023,0.7211102550927979,0.2,0.3,0.51,0.002,0.5916924876994806,,
0.0,0.0,-1.0,-7.30089,-0.840908,19.0,20.0,1.0,2.4,0.0,0.0,0.32,12.0,1.0,,,,,,,,,,,,
1.0,0.0,-1.0,-4.88681,-2.03333,19.0,20.0,1.0,2.4,0.0,0.0,0.32,12.0,1.0,,0.33,0.83,,0.8931965069345043,,0.086,-1.2,,1.203077719850218,,
2.0,0.0,-1.0,-6.07778,-1.23619,17.0,20.0,1.0,2.4,0.0,0.0,0.32,12.0,1.0,0.02,0.21,1.0,,1.0218121158021176,0.23,0.2,-0.74,,0.766550715869472,,
0.0,0.0,1.0,-8.17656,-1.2873,20.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.04,1.1,0.027,,1.1003313137414568,0.3,-0.47,0.32,,0.5685947590331799,,
0.0,0.0,-1.0,-7.52324,-0.752484,19.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.01,0.6,0.06,,0.6029925372672534,0.13,-0.095,0.074,,0.1204200979903271,,
1.0,0.0,-1.0,-5.10607,-1.94135,19.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.23,0.82,0.31,,0.8766413177577246,0.31,0.17,0.56,,0.5852349955359812,,
2.0,0.0,-1.0,-6.29022,-1.143,17.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.09,0.66,0.06,,0.7623647421018367,0.2,0.28,0.74,,0.7947955712005446,,
0.0,0.0,-1.0,-6.80155,-0.538087,19.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,0.34,0.024,,,,-0.048,0.082,,,,
2.0,1.0,-1.0,-5.17141,-1.87057,15.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.22,1.35,1.2,,1.8062391868188443,0.27,0.38,-0.4,,0.5517245689653488,,
1.0,1.0,-1.0,-5.32594,-1.88388,17.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.24,0.86,0.76,,1.147693338832286,0.29,0.3,-0.91,,0.9581753492967768,,
1.0,1.0,-1.0,-4.71887,-2.52444,17.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.35,1.12,1.5,,1.872004273499396,0.37,0.27,-1.3,,1.3277424449041313,,
0.0,1.0,-1.0,-4.93048,-2.11183,19.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.28,0.86,0.57,,1.0317460927960909,0.26,0.22,-0.29,,0.3640054944640259,,
0.0,0.0,1.0,-7.33782,-1.09968,20.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,0.64,0.017,,0.6402257414381274,,-0.22,0.29,,0.3640054944640259,,
1.0,0.0,-1.0,-4.72287,-1.76596,19.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,0.68,0.36,,0.9323089616645333,,0.05,0.5,,0.5080354318352215,,
2.0,0.0,-1.0,-5.76789,-0.941138,17.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,0.48,0.06,,0.7025667228100118,,0.08,0.87,,0.8828363381737296,,
0.0,1.0,-1.0,-4.37321,-1.92979,19.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,0.82,,,,,-0.33,,,,
1.0,1.0,-1.0,-4.75243,-1.72107,17.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,1.1,,,,,-1.1,,,,
1.0,1.0,-1.0,-4.17898,-2.32852,17.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,1.5,,,,,-1.5,,,,
2.0,1.0,-1.0,-4.62158,-1.62106,15.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,1.1,,,,,-0.42,,,,
0.0,0.0,1.0,-8.703720574231813,-1.2873,20.0,20.0,1.0,2.1,0.0,0.0,0.6,12.0,1.0,,,,,,,,,,,0.53,0.09
0.0,0.0,-1.0,-7.732407528710778,-0.7675565607800522,19.0,20.0,1.0,2.1,0.0,0.0,0.6,12.0,1.0,,,,,,,,,,,0.21,0.02
1.0,0.0,-1.0,-5.496154860076032,-2.4887005615999724,19.0,20.0,1.0,2.1,0.0,0.0,0.6,12.0,1.0,,,,,,,,,,,0.39,0.55
2.0,0.0,-1.0,-6.532352752902133,-1.3323967269149954,17.0,20.0,1.0,2.1,0.0,0.0,0.6,12.0,1.0,,,,,,,,,,,0.24,0.19
1.0,1.0,-1.0,-5.889676552958081,-2.4442142374764906,17.0,20.0,1.0,2.1,0.0,0.0,0.6,12.0,1.0,,,,,,,,,,,0.56,0.56
1.0,1.0,-1.0,-5.553373775607387,-3.355850507709095,17.0,20.0,1.0,2.1,0.0,0.0,0.6,0.84,0.83,,,,,,,,,,,,
0.0,1.0,-1.0,-5.225580645179051,-2.6730878749964173,19.0,20.0,1.0,2.1,0.0,0.0,0.6,12.0,1.0,,,,,,,,,,,0.3,0.56
0.0,0.0,1.0,-7.292373805393711,-0.7175581068652505,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,0.08,,,,,0.83,,,,
0.0,0.0,-1.0,-6.78269415063791,-0.4541864034945795,40.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,,,0.03,,,,,0.17,,,,
1.0,0.0,-1.0,-4.92690007028714,-1.5319876675261674,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,0.46,,,,,0.47,,,,
2.0,0.0,-1.0,-5.923783369472685,-0.7255105984341947,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,0.17,,,,,0.31,,,,
0.0,1.0,-1.0,-4.666134733876554,-1.7353714961238569,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,0.74,,,,,0.42,,,,
1.0,1.0,-1.0,-5.299501127401963,-1.415736092143411,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,1.0,,,,,0.46,,,,
1.0,1.0,-1.0,-4.879030090401675,-1.8320092709098577,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,1.29,,,,,0.82,,,,
2.0,1.0,-1.0,-5.306380759645091,-1.4033851897822076,40.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,,,0.99,,,,,0.26,,,,
0.0,0.0,1.0,-6.39837,0.0,20.0,20.0,1.0,2.1,0.0,1.0,0.01,12.0,1.0,,,,,,,,,,,,
0.0,0.0,-1.0,-7.12307,0.0,19.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
1.0,0.0,-1.0,-4.38087,0.0,19.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
2.0,0.0,-1.0,-5.77129,0.0,17.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
0.0,1.0,-1.0,-4.26977,0.0,19.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
1.0,1.0,-1.0,-4.59176,0.0,17.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
1.0,1.0,-1.0,-3.77729,0.0,17.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
0.0,0.0,1.0,-7.32329,0.0,20.0,20.0,1.0,2.1,0.0,0.0,0.01,12.0,1.0,,,,,,,,,,,,
