E_r,N_max,hw,srg,lambda,NNN,3N_induced,theta,Nf,srg_f,Er_total
-8.54205,20.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.0
-7.87064,20.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.0
-4.42696,20.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.0
-2.21348,20.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.0
0.0,20.0,20.0,1.0,2.1,0.0,0.0,0.3,12.0,1.0,0.0
-8.0441,20.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,0.0
-7.38583,20.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,0.0
-4.42696,20.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,0.0
-2.21348,20.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,0.0
0.0,20.0,20.0,1.0,2.1,0.0,1.0,0.3,12.0,1.0,0.0
